widget_name,widget_help_link,widget_img_url,widget_action_url,widget_icon_url,widget_order,widget_id,parent_widget_id,widget_home_menu,visible,widget_descr
"Retail Market Power","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/consumer_demand_reports/rmp_rpt_home.htm","resources/img/icons/consumer-demand-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=252","tIcon-con-demand",413,252,1012,false,true,
"CultureCode Generation","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/culturecode_reports/generation_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=780","tIcon-pop-reports",102,780,1023,false,true,
"CultureCode Language","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/culturecode_reports/language_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=781","tIcon-pop-reports",102,781,1023,false,true,
"CultureCode Educational Attainment and Unemployment","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/culturecode_reports/ed_attnmnt_unmplymnt_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=778","tIcon-pop-reports",102,778,1023,false,true,
"Target Segment Measure Category","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/lifestyler_reports/tsm_category_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=805","tIcon-seg-reports",426,805,1016,false,true,
"Retail Market Power 2017","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/consumer_demand_reports/rmp_rpt_home.htm","resources/img/icons/consumer-demand-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=202","tIcon-con-demand",415,202,1012,false,true,
"Ampersand Consumer Concentration",,"resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=791","tIcon-seg-reports",1,791,790,false,true,
"Ampersand Market Potential",,"resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=792","tIcon-seg-reports",1,792,790,false,true,
"Profile Comparison","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/profile_reports/profile_comparison_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","","tIcon-seg-reports",418,401,1015,false,false,
"Segment Concentration","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/market_overview/segment_concentration_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","","tIcon-seg-reports",417,303,1014,false,false,
"CultureCode Foreign-Born","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/culturecode_reports/foreign_born_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=779","tIcon-pop-reports",102,779,1023,false,true,
"Segment Distribution","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/market_overview/segment_distribution_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=302","tIcon-seg-reports",416,302,1014,false,true,
"Actual Penetration","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/locator_reports/actual_penetration_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=905","tIcon-seg-reports",430,905,1017,false,false,
"Actual Consumption","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/locator_reports/actual_consumption_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=906","tIcon-seg-reports",431,906,1017,false,true,
"Profile Ranking Index","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/profile_reports/profile_ranking_index_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=404","tIcon-seg-reports",421,404,1015,false,true,
"Target Segment Measure","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/lifestyler_reports/target_segment_measure_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=802","tIcon-seg-reports",423,802,1016,false,true,
"Profile Ranking Index Category","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/profile_reports/pri_category_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=405","tIcon-seg-reports",424,405,1015,false,true,
"Ad Sales Solution Presentation ","/knowledgecenter/help/content/claritas%20360/reports/ad_sales_solution_presentation/ad_sales.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=10001","tIcon-reports",305,10001,100,false,true,
"Dominant Target","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/locator_reports/dominant_target_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=904","tIcon-seg-reports",429,904,1017,false,true,
"Actual Vs Potential","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/locator_reports/actual_vs_potential_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=907","tIcon-seg-reports",432,907,1017,false,true,
"Market Overview Reports","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/market_overview/market_overview_reports_home.htm","resources/img/icons/segmentation-report-icon-white.png","","tIcon-seg-reports",305,1014,104,false,true,
"Profiler Reports","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/profile_reports/profiler_reports_home.htm","resources/img/icons/segmentation-report-icon-white.png","","tIcon-seg-reports",306,1015,104,false,true,
"Lifestyler Reports","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/lifestyler_reports/lifestyler_reports_home.htm","resources/img/icons/segmentation-report-icon-white.png","","tIcon-seg-reports",307,1016,104,false,true,
"Locator Reports","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/location_reports/location_reports_home.htm","resources/img/icons/segmentation-report-icon-white.png","","tIcon-seg-reports",308,1017,104,false,true,
"Pop-Facts Executive Summary","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/demographic_reports/pf_exec_smry_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=707","tIcon-pop-reports",405,707,1011,false,true,
"Pop-Facts Demographics","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/demographic_reports/pf_demo_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=702","tIcon-pop-reports",401,702,1011,false,true,
"Effective Buying Income","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/demographic_reports/ebi_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=703","tIcon-reports",406,703,1011,false,true,
"Senior Life","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/demographic_reports/senior_life_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=701","tIcon-reports",407,701,1011,false,true,
"Report Output","/knowledgecenter/help/content/reports/report_home.htm","resources/img/icons/reports-icon.png","","tIcon-reports",205,12003,100,true,true,
"Potential Vs Potential","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/locator_reports/potential_vs_potential_rpt.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=909","tIcon-seg-reports",434,909,1017,false,true,
"Market Potential","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/lifestyler_reports/market_potentional_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=901","tIcon-seg-reports",425,804,1016,false,true,
"CultureCode Ancestry and Origin","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/culturecode_reports/ancestry_origin_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=777","tIcon-pop-reports",102,777,1023,false,true,
"CultureCode Socioeconomic Status","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/culturecode_reports/ses_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=782","tIcon-pop-reports",102,782,1023,false,true,
"Point Crosstab","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/location_reports/pt_crosstab_rpt_home.htm","resources/img/icons/locator-report-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=606","tIcon-loc-reports",415,606,1013,false,true,
"Consumer Concentration","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/demographic_reports/cc_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=301","tIcon-pop-reports",408,708,1011,false,true,
